,Season,Competition,Club,Against,Date,Minute,Goalkeeper,Success?,Score at this moment,Final result,Foot,Area
140,09/10,LaLiga,Real Madrid,CD Tenerife,2010-02-27,78,Sergio Aragoneses,1,4:1,5:1,r,5
141,09/10,LaLiga,Real Madrid,UD Almería,2009-12-05,82,Diego Alves,0,3:2,4:2,r,1
142,09/10,LaLiga,Real Madrid,Deportivo de La Coruña,2009-08-29,34,Daniel Aranzubia,1,2:1,3:2,r,1
143,08/09,Premier League,Manchester United,Tottenham Hotspur,2009-04-25,57,Heurelho Gomes,1,1:2,5:2,r,4
144,08/09,Premier League,Manchester United,Liverpool FC,2009-03-14,22,Pepe Reina,1,1:0,1:4,r,1
145,08/09,International Friendlies,Portugal,Finland,2009-02-11,78,Niki Mäenpää,1,1:0,1:0,r,5
146,08/09,Premier League,Manchester United,Everton FC,2009-01-31,43,Tim Howard,1,1:0,1:0,r,4
147,08/09,EFL Cup,Manchester United,Derby County,2009-01-20,89,Roy Carroll,1,4:1,4:2,r,1
148,08/09,Premier League,Manchester United,Bolton Wanderers,2008-09-27,59,Jussi Jääskeläinen,1,1:0,2:0,r,6
149,07/08,Premier League,Manchester United,Wigan Athletic,2008-05-11,32,Chris Kirkland,1,1:0,2:0,r,5
150,07/08,UEFA Champions League,Manchester United,FC Barcelona,2008-04-23,3,Víctor Valdés,0,0:0,0:0,r,6
151,07/08,Premier League,Manchester United,Arsenal FC,2008-04-13,53,Jens Lehmann,1,1:1,2:1,r,1
152,07/08,FA Cup,Manchester United,Tottenham Hotspur,2008-01-27,69,Radek Cerny,1,2:1,3:1,r,1
153,07/08,Premier League,Manchester United,West Ham United,2007-12-29,66,Rob Green,0,1:0,1:2,r,1
154,07/08,Premier League,Manchester United,Everton FC,2007-12-23,87,Tim Howard,1,2:1,2:1,r,6
155,07/08,Premier League,Manchester United,Derby County,2007-12-08,90,Stephen Bywater,1,4:1,4:1,r,1
156,07/08,UEFA Champions League,Manchester United,Dynamo Kyiv,2007-10-23,41,Oleksandr Shovkovskiy,1,3:1,4:2,r,1
157,06/07,Premier League,Manchester United,Manchester City,2007-05-05,34,Andreas Isaksson,1,1:0,1:0,r,1
158,06/07,FA Cup,Manchester United,Middlesbrough FC,2007-03-19,76,Mark Schwarzer,1,1:0,1:0,r,6
159,06/07,FA Cup,Manchester United,Middlesbrough FC,2007-03-10,68,Mark Schwarzer,1,2:2,2:2,r,1
160,06/07,Premier League,Manchester United,Tottenham Hotspur,2007-02-03,45,Paul Robinson,1,1:0,4:0,r,1
161,06/07,Premier League,Manchester United,Watford FC,2007-01-31,12,Richard Lee,1,1:0,4:0,r,1
162,06/07,Premier League,Manchester United,Wigan Athletic,2006-12-26,50,Chris Kirkland,0,2:0,3:1,r,3
163,06/07,International Friendlies,Portugal,Denmark,2006-09-01,58,Thomas Sörensen,0,1:2,2:4,r,5
164,05/06,World Cup 2006,Portugal,Iran,2006-06-17,80,Ebrahim Mirzapour,1,2:0,2:0,r,2
165,05/06,EFL Cup,Manchester United,West Bromwich Albion,2005-11-30,12,Russell Hoult,1,1:1,3:1,r,1
